Speed	av	del_av	ar	del_ar	PF1Down	PF0	PF1Up	PF2	PExc
-17.58276	-4785.737587045032	282.68921169255947	4787.405157094657	282.88402086021483	0.3525272301126572	0.05733283816477141	0.25274546870596515	0.2549351417355698	0.08245932128104229
-13.18707	-5481.986964414016	662.7514389847952	5478.765955991548	661.9868856889483	0.3034957789785086	0.06547896978171346	0.27776221902463816	0.2615293125031195	0.09173371971202667
-8.79138	-4705.003669354815	792.3742781830498	4703.830884552723	790.3226083159122	0.25300299994988107	0.10090005838828184	0.23697216316635078	0.3237803915844586	0.08534438691103301
-4.39569	-3172.458439542697	674.4249298959616	3181.6323737334947	674.9081992592843	0.3273081628553079	0.11052921185689185	0.20272789506764036	0.27848440049812245	0.08095032972204261
-2.197845	-662.9882481252473	579.2708110183024	642.7623982716486	569.5888910431071	0.31233814013187655	0.11126008622543959	0.2220895325125449	0.2739432181607231	0.08036902296942104
-0.43956900000000004	2106.755617822496	185.72220471956516	-2156.623465379515	229.0866433163297	0.30955545416333197	0.1279317505530878	0.15766858272056006	0.3238193037323093	0.08102490883071783
-0.21978450000000002	2136.478142997684	195.20573333575214	-2167.6546391551788	191.4344215265114	0.31309951654151696	0.12980637436358977	0.1657174087663802	0.316766673815817	0.07461002651270443
0.21978450000000002	-1093.5608550202544	36.559257674885885	-1108.6943827561308	37.74660744446717	0.29381251563186284	0.13253587770138092	0.13671222178534967	0.35675791519885763	0.08018146968255871
0.43956900000000004	-1161.0104189040374	199.95690287327966	-1171.82799994753	203.38967458013556	0.3045741232668633	0.12847327243032103	0.14336675655000097	0.3421682333080442	0.08141761444477807
2.197845	-4182.749121127517	269.67177461078404	-4199.627020849023	273.172690738756	0.3266042626915726	0.11543785055867647	0.1328147401172306	0.33767370586710527	0.08746944076542165
4.39569	-4798.078992595217	692.6909736747835	-4801.190732058621	693.6166982723701	0.3357233073523921	0.1127491733672784	0.16916575534491593	0.2936398792667022	0.08872188466871764
8.79138	-5191.463430144931	670.1389771958985	-5192.071104568238	669.7573382413947	0.3153307796762235	0.07712182998848899	0.24223448607382464	0.28172395175221593	0.0835889525092525
13.18707	-6338.306984032304	151.69570199991801	-6336.044718568492	150.84405872224187	0.32457732134809814	0.04265618487986649	0.2038554982299713	0.3466961869145394	0.08221480862753042
17.58276	-3015.1039974825117	319.9656784597198	-3016.367940354678	320.5939054254424	0.43319526259373664	0.04368904027793061	0.21179846502967134	0.2529958734174904	0.05832135868117565
