Speed	av	del_av	ar	del_ar	PF1Down	PF0	PF1Up	PF2	PExc
-17.58276	-4946.197026783135	599.4675218143122	4950.198829068117	606.1381655549326	0.25872886352749563	0.05640561968996053	0.23629540164292934	0.26498478643694146	0.18358532870268543
-13.18707	-5170.608289278596	1157.1531409172649	5152.842618836652	1163.2616666646832	0.26888234892715607	0.059184275388449434	0.23516011798535175	0.2561708828517433	0.1806023748473124
-8.79138	-3034.8619468149445	672.4807717003458	3046.7470628613705	674.2706461151134	0.273142725438397	0.06194175192464062	0.23987208652452077	0.2605313765848909	0.1645120595275628
-4.39569	-594.6411401641899	280.1041207118194	614.2510300195214	278.1588948652066	0.23700354648910435	0.054051632875262226	0.2238082989969372	0.33765316995888595	0.1474833516798214
-2.197845	1548.456839272748	817.6097992570153	-1427.8103640187505	742.8048193835714	0.236134297490873	0.05034318321304421	0.18539471848910016	0.4036658596446664	0.12446194116232431
-0.43956900000000004	-192.04578369907077	180.2825519554134	175.5885097421977	151.44312755931207	0.2596766462297526	0.04400244504536514	0.16549730845739824	0.4325903201395866	0.09823328012790622
-0.21978450000000002	-141.88009320184335	107.79432301983485	156.88105456643632	87.03030517709627	0.242999027748843	0.043229147331064345	0.18471603626801306	0.42844663127444205	0.10060915737764978
0.21978450000000002	638.3035358009975	209.93339412286943	635.2081290232967	210.70721890514093	0.2535488241771897	0.044233181525812654	0.19194582723029824	0.4108808487406198	0.09939131832609217
0.43956900000000004	445.524939172389	299.03699621183654	388.70252863257735	255.7213816819311	0.26658203944324954	0.04662061387808213	0.17542986310727793	0.41143116003871105	0.09993632353268696
2.197845	311.6106057869565	242.018790396585	406.51563521571023	205.15759030390848	0.24601483502615396	0.05182301550964175	0.20277006918622847	0.36891033073318275	0.13048174954480268
4.39569	-2842.2191173145748	670.1726634418054	-2799.3908381348406	656.0281262720559	0.24236905670948836	0.05553044156062443	0.23884963431091438	0.31089385680894693	0.152357010610036
8.79138	-6238.425979327039	646.895561580349	-6204.10350357193	650.2727148227218	0.26851944658110805	0.05948172369317068	0.23492126593416274	0.2615251449328981	0.17555241885867304
13.18707	-7083.572039303872	1292.694987212662	-7085.132066950899	1287.782534663786	0.268622658554399	0.06350559545713767	0.22156577956603912	0.25978669869022886	0.1865192677322084
17.58276	-6148.313759373736	800.3249153774772	-6144.195747571914	794.7240845877203	0.2644719390313611	0.057585105744545804	0.2225071268805212	0.2782109429612784	0.17722488538230555
